,0,1,2,3,4,5
0,18.0,0.0,1.0,0.0,0.0,1.0
1,48.0,1.0,0.0,0.0,1.0,0.0
2,31.19418104265403,1.0,0.0,0.0,0.0,1.0
3,19.0,0.0,0.0,1.0,0.0,1.0
4,31.19418104265403,0.0,0.0,1.0,0.0,1.0
5,8.0,0.0,1.0,0.0,0.0,1.0
6,22.0,0.0,0.0,1.0,1.0,0.0
7,31.19418104265403,0.0,0.0,1.0,0.0,1.0
8,31.19418104265403,0.0,0.0,1.0,0.0,1.0
9,28.0,0.0,1.0,0.0,1.0,0.0
10,19.0,0.0,0.0,1.0,0.0,1.0
11,15.0,1.0,0.0,0.0,1.0,0.0
12,21.0,1.0,0.0,0.0,0.0,1.0
13,48.0,0.0,1.0,0.0,0.0,1.0
14,31.19418104265403,0.0,0.0,1.0,0.0,1.0
15,31.19418104265403,1.0,0.0,0.0,1.0,0.0
16,31.19418104265403,1.0,0.0,0.0,0.0,1.0
17,31.19418104265403,1.0,0.0,0.0,1.0,0.0
18,31.19418104265403,0.0,0.0,1.0,0.0,1.0
19,6.0,0.0,1.0,0.0,1.0,0.0
20,22.0,0.0,0.0,1.0,1.0,0.0
21,22.0,1.0,0.0,0.0,1.0,0.0
22,31.19418104265403,0.0,0.0,1.0,0.0,1.0
23,31.19418104265403,0.0,0.0,1.0,0.0,1.0
24,31.19418104265403,0.0,0.0,1.0,0.0,1.0
25,31.19418104265403,1.0,0.0,0.0,0.0,1.0
26,4.0,0.0,1.0,0.0,1.0,0.0
27,2.0,0.0,1.0,0.0,0.0,1.0
28,31.19418104265403,0.0,0.0,1.0,0.0,1.0
29,33.0,1.0,0.0,0.0,0.0,1.0
30,50.0,1.0,0.0,0.0,1.0,0.0
31,31.19418104265403,0.0,0.0,1.0,1.0,0.0
32,62.0,1.0,0.0,0.0,0.0,1.0
33,52.0,0.0,1.0,0.0,0.0,1.0
34,31.19418104265403,0.0,1.0,0.0,1.0,0.0
35,31.19418104265403,1.0,0.0,0.0,1.0,0.0
36,37.0,1.0,0.0,0.0,1.0,0.0
37,32.0,1.0,0.0,0.0,0.0,1.0
38,31.19418104265403,1.0,0.0,0.0,0.0,1.0
39,31.19418104265403,0.0,0.0,1.0,0.0,1.0
40,21.0,0.0,1.0,0.0,0.0,1.0
41,31.19418104265403,0.0,0.0,1.0,0.0,1.0
42,31.19418104265403,0.0,0.0,1.0,1.0,0.0
43,30.0,0.0,1.0,0.0,0.0,1.0
44,31.19418104265403,0.0,0.0,1.0,1.0,0.0
45,31.19418104265403,0.0,0.0,1.0,0.0,1.0
46,31.19418104265403,0.0,1.0,0.0,0.0,1.0
47,31.19418104265403,0.0,0.0,1.0,0.0,1.0
48,31.19418104265403,0.0,0.0,1.0,0.0,1.0
49,46.0,1.0,0.0,0.0,0.0,1.0
50,18.0,0.0,1.0,0.0,1.0,0.0
51,31.19418104265403,0.0,0.0,1.0,0.0,1.0
52,48.0,0.0,1.0,0.0,0.0,1.0
53,31.19418104265403,0.0,0.0,1.0,0.0,1.0
54,31.19418104265403,0.0,0.0,1.0,1.0,0.0
55,39.0,1.0,0.0,0.0,1.0,0.0
56,31.19418104265403,0.0,0.0,1.0,1.0,0.0
57,24.0,0.0,1.0,0.0,1.0,0.0
58,48.0,1.0,0.0,0.0,0.0,1.0
59,25.0,0.0,1.0,0.0,0.0,1.0
60,31.19418104265403,0.0,0.0,1.0,0.0,1.0
61,30.0,0.0,1.0,0.0,1.0,0.0
62,31.19418104265403,0.0,1.0,0.0,0.0,1.0
